,titles,salary,company,job_desc,location
38,DATA ANALYST,$35.20 an hour,Grande Ronde Hospital,"This position serves as the primary reporting resource and has responsibility and focus on analysis, design, specifications documentation, maintenance of report documentation, change control, and versioning of all reporting components used to build and manage and perform multi-system reporting as well as database system support & maintenance. The position is responsible for defining report and analytics tool requirements, design, development, testing, installation and implementation of report-focused programs, report programming designs, coding, testing, debug, and documentation of system scripts, programs, and reports in the application, web, and database environments. This position will also educate key users on how to utilize various end-user tools to analyze the data models and how to perform self-service reporting using the various tools in the Business Intelligence toolkit developed by the Data Analytics department.A four-year degree in Computer Science, Management Information Systems, or in similar fields from an accredited institution is required.  Experience in healthcare environment, general database design and development experience, and demonstrated skills in data analysis and database models and Microsoft Database query languages preferred.  Strong logical and conceptual data modeling experience is preferred.  Experience in the preparation and delivery of formal and/or informal Information Technology user training, preferred.  Strong interpersonal customer service skills with the ability to meet and work with people easily is a plus.","La Grande, OR 97850"
39,Data Science Analyst - Orthopedics - Limited Tenure,"$89,772 - $134,638 a year -  Full-time",Mayo Clinic,"Why Mayo Clinic Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2021-2022) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you’ll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you’ll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!   Mayo Clinic offers a variety of employee benefits. For additional information please visit Mayo Clinic Benefits. Eligibility may vary. Position description Data Scientists at Mayo Clinic perform detailed analysis of large bodies of heterogeneous data in order to discover new patterns and insights having an impact upon patient health and augmenting human capabilities. Candidate has expertise in AI, machine learning, deep learning, statistical data processing, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory and data science methods used to analyze data.  May work with knowledge architects, informaticians and clinicians at Mayo, and partner outside companies to develop and deploy applications to bring AI and analytic solutions to nontechnical users, often at the point of care. Applies and modifies existing scripts or software applications to support data management, data extraction, data analysis, and AI as required May develop predictive models on datasets to address various business problems by leveraging statistical modeling, operations research, machine learning, or data mining techniques. May provide Consultative Services to departments/divisions and/or support scientific projects under the guidance of a designated senior level data scientist.  Other responsibilities: Provides data insights for business problems that can be approached with analytics techniques to collect, explore, and extract insights from structured and unstructured data.Has expertise in the data science methods used to analyze data, and knowledge of data types, topics, and scientific challenges and approaches.Executes analytical procedures in the framework of a specific project work request.Creates or modifies scripts or software applications to support data management, data extraction and data analysis as required.Contributes to the interpretation of data analysis and to writing reports.Helps customers understand the data set and provide training and suggestions for improvement on the data request.Leverages communication and interpersonal skills and works with subject matter expertsPresents findings in easy to understand terms for the business or clinical practice. Qualifications A Bachelor’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative and a minimum of three years of professional or research experience in data science will be considered.  The preferred candidate will possess a Master’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative field and a minimum of one year of professional or research experience in data  This position has an anticipated end date of one year after the start date.  Additional qualifications Demonstrated ability to develop predictive models to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques. May provide consultative services to departments/divisions and committees. Demonstrated application of several problem-solving methodologies, planning techniques, continuous improvement methods, and analytical tools and methodologies (e.g. machine learning, statistical packages, modeling, etc.) required. Incumbent must have ability to manage a varied workload of projects with multiple priorities and stay current on healthcare trends and enterprise changes. Interpersonal skills and time management skills are required. Requires strong analytical skills and the ability to identify and recommend solutions, advanced computer application skills and a commitment to customer service. Experience with data modeling and date exploration tools. Exemption status Exempt Compensation Detail $89,772- $134,638/ year Benefits eligible Yes Schedule Full Time Hours / Pay period 80 Schedule details Business Hours  This position works remotely 50% or more; business need requires employees to live within a reasonable driving distance of campus Weekend schedule Not Applicable Remote Yes International Assignment No Site description Mayo Clinic is located in the heart of downtown Rochester, Minnesota, a vibrant, friendly city that provides a highly livable environment for more than 34,000 Mayo staff and students. The city is consistently ranked among the best places to live in the United States because of its affordable cost of living, healthy lifestyle, excellent school systems and exceptionally high quality of life. Recruiter Jill Squier EOE As an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.","Rochester, MN"
40,Research Data Analyst,Full-time,Boston Medical Center,"POSITION SUMMARY:  The Research Data Analyst will help design, build, test and run mathematical models for the evaluation of infectious disease public policy. Responsibilities span the entirety of the research process and include literature review, model development, parameter estimation, data manipulation, analysis and interpretation of results, manuscript preparation and presentation and dissemination of results. Work is centered on using microsimulation and cost-effectiveness methods to perform economic evaluation of public health guidelines and policies.  This person will work with a diverse team that comprises physicians, statisticians, engineers, epidemiologists and public health officials. There is ample opportunity for leadership and development within this role, which is well-supported by senior research faculty.  This position is ideal for a young investigator with interest and experience in public health, especially epidemiology, looking to make a substantial contribution to a well-established research team. Position: Research Data AnalystDepartment: Infectious Disease Schedule: Full TimeESSENTIAL RESPONSIBILITIES / DUTIES: Develop and apply new techniques for simulation modeling Conduct deep and thorough review of subject literature Design model structure through flow charts and analysis plans Synthesize multiple forms of evidence to estimate parameters Transform raw output into digestible format Interpret model results to draw conclusions about public policy Write and edit manuscripts at various stages of development Attend and present at conferences and meetings Maintain project records and manage timelines Balance multiple competing projects at the same time Administrative tasks Tasks related to routine administration of research projects including minutes and notes, scheduling, and logistics of travel. Must adhere to all of BMC's RESPECT behavioral standards. EDUCATION: Requires a bachelor's degree, preferably in mathematics, statistics, engineering, public health/epidemiology or another quantitative field, although outstanding applicants from other fields may be considered. Master's degree preferred but not required. EXPERIENCE: 1 -2 years of experience in a research role preferred. KNOWLEDGE & SKILLS: Excellent communication skills, including comfort with public speaking and formal writing Mastery of computational methods Understanding of infectious disease dynamics Previous experience with microsimulation desired- classroom experience acceptable Familiarity with R, SAS or other statistical programming language Data visualization and graphical communication useful A proven ability to learn and apply new technical skills Ability to work well with individuals from diverse social, racial, ethnic, and economic backgrounds Organizational ability to perform multiple tasks efficiently and to prioritize duties Must be able to maintain strict protocols of all confidential or sensitive information Req id: 24566","Boston, MA 02118"
41,Data Analyst,Full-time,Na,"CompanySentry Data SystemsSpecialityData OperationsCategoryPermanentLocation CountryUSOffice LocationHome based - USAdditional LocationsIntroduction to CranewareWe at the Craneware Group, including Sentry Data Systems and Agilum Healthcare Intelligence, are transforming the business of healthcare by providing actionable insights to our customers. We are seeking talented, innovative and collaborative individuals to join our team of over 750 employees to drive the expansion of our SaaS-based platform and applications.Together, nearly half of registered US hospitals are now our customers.Our products impact:More than 2,000 U.S. hospitals and health systemsAlmost 10,000 clinics and retail pharmaciesCustomers operating with a financial impact of nearly half a trillion dollarsData sets from customers covering more than 150 million unique patientsThe TeamData analyst responsibilities include investigating the source and root cause of client concerns, checking and validating assumptions, proposing solutions, and implementing these solutions, typically through use of SQL scripts. The Data Analyst will own the solution over the course of these investigations and data corrections, setting up and leading calls as needed and proactively communicating with all stakeholders. We are looking for driven, highly-collaborative individuals who love solving problems for customers. The ideal candidate is social, communicates proactively, and has experience working remotely in a client-facing technical role.You Will BeHandling client-related issues with internal business partners and external customers to demonstrate findings and resolve issues.Understanding the root cause of client business questions.Identifying sources of data errors and take measures to resolve them. This typically requires the analyst to either help the client change their process or write SQL queries to correct data retroactively.Locating and defining new process improvement opportunities.Taking initiative. Leading projects based on discoveries of data issues.You Will BringExcellent communication skills and a desire to keep clients and internal stakeholders informed without being asked.Bachelor's degree in Information Management, Healthcare Information, Computer Science, Mathematics, Statistics, or equivalent combination of related experience.Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.Strong knowledge of and experience with relational databases, including structure and querying. Exceptional candidates without relational database experience may be considered if they have a programming or other technical background.Experience using spreadsheets to create a shared understanding of data issues. Candidate must be able to gather information into a usable form and explain findings visually.Great learning aptitude & internal motivation to master subject matter.Ability to understand client business questions, and answer them with data, and create data-based solutions.A relational attitude that wants to partner with clients and collaborate with Sentry teammates.Job Type: Full-time",Remote
42,Data Analyst,"$49,300 - $96,000 a year -  Full-time",Principal Financial Group," Responsibilities:   Principal is seeking a Data Analyst within our Data and Analytics Consulting Team! You’ll have the opportunity to: Provide insight and execute data strategies and systems for business unit products and services in a manner that aligns with business unit strategic goals, is cost effective, and efficient. Complete accurate and timely metrics and reporting. Research, analyze, and validate the primary source(s) for definitive data and completeness to feed metrics associated with Retirement Investment Services. Develop proactive data strategies and present recommendations to identified audiences regarding the market, competition, and our position in the market place. Effectively utilize complex computer programs to mine data sources providing relevant information in an easily consumable manner. Actively participate in project teams to thoroughly develop and maintain processes or systems in accordance with scheduled target dates.   Perform other job-related duties or special projects as required  Qualifications:  A Bachelor's degree or equivalent experience required, plus 2-4 years job related experience Knowledge of company business unit products preferred, including plan design, stakeholders, financial metrics, and investment knowledge Strong interpersonal skills, including verbal and written communication Computer skills and knowledge of/aptitude for business unit applications Excellent problem solving, analytical, math, and statistical skills and demonstrates the ability to identify and resolve complex problems Ability to maintain confidentiality Must be accurate and pay strong attention to detail Salary Range Information: Salary ranges below reflect targeted base salaries. Non-sales positions have the opportunity to participate in a bonus program. Sales positions are eligible for sales incentives, and in some instances a bonus plan, whereby total compensation may far exceed base salary depending on individual performance. Actual compensation for all roles will be based upon geographic location, work experience, education, licensure requirements and/or skill level and will be finalized at the time of offer. Salary Range: $49300 - $96000 / year Additional Information:   Location   This role offers the ability for in-office, hybrid (blending both office and remote work in a typical workweek), and remote work arrangements. You’ll work with your leader to determine which option may align best based on several factors.  Hours   This position may require on-call responsibilities.  Job level   We’ll consider talent at the next level with the right experiences and skills.  Work Authorization/Sponsorship   At this time, we're not considering candidates that need any type of immigration sponsorship (additional work authorization or permanent work authorization) now or in the future to work in the United States? This includes, but IS NOT LIMITED TO: F1-OPT, F1-CPT, H-1B, TN, L-1, J-1, etc. For additional information around work authorization needs please use the following links.    https://www.uscis.gov/working-in-the-united-states/temporary-nonimmigrant-workers and https://www.uscis.gov/green-card/green-card-eligibility/green-card-for-employment-based-immigrants  Investment Code of Ethics   For Principal Global Investors positions, you’ll need to follow an Investment Code of Ethics related to personal and business conduct as well as personal trading activities for you and members of your household. These same requirements may also apply to other positions across the organization.  Experience Principal   While our expertise spans the globe, we're bound by one common purpose: to foster a world where financial security is accessible to all. And our success depends on the unique experiences, backgrounds, and talents of our employees – individually and all of us together. Explore our core values, benefits and why we’re an exceptional place to grow your career.  Principal is an Equal Opportunity Employer   All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status. LinkedIn Remote Hashtag : #LI-Remote","Des Moines, IA 50392"
43,Data Analyst I (226 Days),"$76,031 a year -  Full-time",Dallas Independent School District,"  Data Analyst I (226 Days) -(RTP20220405-016)     Description  Monitors and analyzes MTSS data to identify trends, address issues, and adjust implementation efforts as needed.Lead the design efforts to collect and incorporate stakeholder feedback.Lead and manage special projects.Critically evaluate gathered information from multiple sources to reconcile conflicts and decompose high-level information into details.Identify district and departmental needs through data trends.Support internal project management within the MTSS team and collaborate with other departments when needed.Create board documents, write memos, and support the communication of MTSS updates districtwide.Monitor implementation progress and present as needed to various departments, community groups, campuses, and other stakeholders.Manage the alignment of MTSS with district and state policies.Engage and collaborate with department leaders from School Leadership, Teaching & Learning and Evaluation & Assessment to support implementation districtwide.Perform other duties as assigned.  Qualifications    Work Locations: Multi-Tiered Systems Of Support 9400 N CENTRAL EXPRESSWAY SUITE 330D Dallas 75231    Job: Analyst I-Data    Full-time    Minimum Salary: 62,344.00    Median Salary: 76031.00    Job Posting: Apr 25, 2022 ","Dallas, TX 75231"
44,Client Data Analyst and Support Representative I,"$48,000 - $75,000 a year",Richey May & Co Llp,"If you are not sure that youre 100% qualified, but up for the challenge we want you to apply. We recognize the value of training our employees and the outcomes they can achieve. Sponsorship for nonimmigrant visas are not offered About Us At Richey May, we very much believe that our people are our promise our promise to be the best partners to each other, our clients, and our community. As the largest independent accounting and consulting firm in the greater Denver area, we are known for our teamwork and work-life balance. Many accounting firms claim work-life balance. Richey May has a proven record of inclusive, supportive, were all in this together team spirit that redefines the public accounting experience. Our Core Value of Balance is built into our DNA; we all work together to make sure every team member from Staff to Partners can experience a balanced life outside of the office. We seek to solve the challenges others cannot. We create our futures as a team and celebrate every step we accomplish. What You Would Do As part of Richey Mays Business Intelligence and Analytics team, the Client Data Analyst & Support Representative I would be working with the analytics consulting team to understand and execute clients reporting needs. You are someone that is comfortable working with large datasets and using SQL best practices for query optimization. What You Bring to the Table You are someone that has SQL experience and ideally has worked with Domo, Tableau, Power BI or similar business intelligence solutions. You will play a key role in the success of the group by helping clients create reporting that matters most and communicating that story with associated implications. Pay $48,000 - $75,000 per year Benefits We are proud to offer 27 days of paid time off and 10 paid holidays for this role to make sure you have a life outside of the office. As you progress in your career with us, we offer more paid time off. Our robust benefits package includes paid employee medical, employer health savings account contribution, life insurance, short- and long-term disability, paid parental leave, and a 401k match. Other voluntary benefits include accident, vision, dental, and medical for dependents. We also offer certification bonuses, continuing professional education and education reimbursement. Our wellness programs also include an employee assistance program, paid bereavement leave and our Mental Health First Aid team, employees trained to support mental wellness throughout the firm. Employees are eligible for a performance-based incentive bonus on top of base salary. Richey May & Co., LLP is an Equal Opportunity Employer. All qualified candidates will receive consideration for employment without regard to race, color, religion(including religious dress and grooming), national origin and ancestry, physical and mental disability, medical condition, genetic information, sex/gender, age, marital status, pregnancy, sexual orientation, gender identity/gender expression, citizenship status, military or veteran status, employment status, or any other characteristic protected by applicable federal, state, and local laws. Richey May & Co., LLP offers reasonable accommodations in the hiring and employment process for individuals with disabilities. If you need assistance in the application or hiring process to accommodate a disability, you may request an accommodation at any time.","Englewood, CO 80112"
45,Data Analyst I,Full-time,Astreya,"Company Description Astreya is the leading IT solutions provider to deliver technology-enabled services and fuel digital transformation to some of the most exciting companies on the planet. We are at the cusp of a new way of working with our delivery model that helps our clients be positively productive by matching exceptional people to on-site teams delivering world-class IT service. With engineers in over 30 countries and 70 cities around the world, we are a global company working with the world's most recognizable and innovative organizations.  Job Description  What this Job Entails: We are looking for an entry level Data Analyst to join our growing team of analytics experts. The hire will be responsible for supporting our data analysts with statistical modeling and analysis of structured and unstructured datasets to develop metrics, reports, and visualizations of trends and patterns. The Data Analyst will support our data analyst team to identify and capture data from internal and external sources. The Data Analyst will assist in ensuring consistency throughout ongoing projects. Scope: Create or Update database(s) & tables on MySql database and/or other equivalent databases Layer 1-3 OSI Modeling Understanding Ability to interpret various types of Network contracts and related documentation and derive Customer data from them IRU, Leased Capacity, Space & Power, Professional Services Contracts Contract Deliverables: FC Data, Network Diagrams, SOR fibers, Network Inventory Applies company policies and procedures to resolve routine issues Works on problems of limited scope Receives detailed instructions Your Roles and Responsibilities: Create basic data visualizations Create monthly Excel and Google Sheets files from database Independently analyze data sets to identify opportunities for increased accuracy and efficiency Perform quality assurance on data Analyze data to determine potential data gaps Work with Senior Data Analysts to assist with data-related technical issues and support their data infrastructure needs Assemble large, complex data sets that meet functional / non-functional business Work with data and analytics experts to strive for greater functionality in our data systems. Other duties as required. This list is not meant to be a comprehensive inventory of all responsibilities assigned to this position Required Qualifications/Skills: Bachelor’s degree (B.S/B.A) from four-college or university and 0 to 2 years’ related experience and/or training; or equivalent combination of education and experience Builds stable working relationships internally Follows standard practice and procedures when analyzing situations or data Excellent written communication skills High level of attention to detail Advanced Excel skills to include; formulas, functions, pivot tables, lookup and reference formulas (i.e. vlookups), statistical formulas (countifs, sumifs), macros (ability to create new and edit existing), conditional formatting, importing data, creating graphs/charts, etc. Ability to independently analyze large amounts of data; including the ability to identify, analyze, and interpret trends, gaps, patterns in complex data sets Preferred Qualifications: SQL skills; including creating and modifying macros, as well as creating dashboards using SQL coding Experience using Google PLX Dashboards Physical Demand & Work Environment: Must have the ability to perform office-related tasks which may include prolonged sitting or standing Must have the ability to move from place to place within an office environment Must be able to use a computer Must have the ability to communicate effectively Some positions may require occasional repetitive motion or movements of the wrists, hands, and/or fingers What can Astreya offer you? Employment in the fast-growing IT space providing you with a variety of career options Opportunity to work with some of the biggest firms in the world as part of the Astreya delivery network Introduction to new ways of working and awesome technologies Career paths to help you establish where you want to go Focus on internal promotion and internal mobility - we love to build teams from within Free 24/7 accessible Professional Development through LinkedIn Learning and other online courses to give you opportunities to upskill at your own pace Education Assistance Dedicated management to provide you with on point leadership and care Numerous on the job perks Market competitive compensation and insurance, health and wellness benefits Additional Information  Astreya Partners is an equal employment and affirmative action employer. We evaluate qualified applicants on merit and business needs and not on race, color, religion, creed, gender, sexual orientation, national origin, ancestry, age, disability, genetic information, marital status, veteran status or any other factor protected by law. #INDG1 #INDF1","Denver, CO"
46,DATA SUPPORT ANALYST III (*REPOST - PREVIOUS APPLICANTS NEED NOT APPLY),"$67,245 - $96,895 a year -  Full-time",Milwaukee Public Schools,"Job SummaryThe Data Support Analyst III serves as data support for the Department of Financial Services and the financial data. This position utilizes specialized knowledge of software & systems components and applies knowledge and skills in problem-solving and implementing configuration changes, including technical expertise in assigned systems at the senior level. Analyzes, documents, installs, and maintains applications, software and systems. The salary range is $67,245 – $96,895 (12-month). Other InformationAs of November 1, 2021, all MPS employees are required to be fully vaccinated. The health and safety of our staff and students is our number one priority. That’s why all offers of employment are contingent on the candidate showing proof of being fully vaccinated against COVID-19 (currently one dose of the Johnson & Johnson vaccine or two doses of the Pfizer or Moderna vaccine) to pass the pre-employment requirements. Individuals with medical issues or sincerely held religious beliefs that prevent them from getting the vaccine may request an accommodation from the vaccine requirement. QualificationsBachelor's degree in Computer Science, Management Information Systems, Technology or related field.Two (2) years of technical work experience in programming and analysis.Equivalent combinations of training, education and experience may be consideredResponsibilitiesUnderstands how data elements integrate with each other.Works closely with project leaders and end-users to define requirements and understand the business rules and definitions that drive development requests.Manages projects through timelines and prioritization of tasks.Understands and completes T-SQL (Transact-SOL) writing complex scripts, developing analytics, metrics, reports and extracts in a SQL Server environment.Has extensive experience with reporting and development tool(s): SQL Server Management Studio, Visual Studio.Maintains knowledge of SQL Server Integrated Services (SSIS) development and knowledge of creating packaging for copying, migrating, and deploying data warehouse objects.Implements and maintains change control and testing processes for new development and executing modifications.Uses coding best practices for security and access policies according to MPS security standards.Accesses and understands report configurations and queries.Meets with user department personnel to assist with decision making, problem resolution, and training, as necessary.Learns new development tools and application development software products and maintains familiarity with existing application languages.Participates in professional training activities as directed.Stays current on appropriate hardware and software technology and stays informed of automation needs in user departments.Provides exceptional customer service through positive communication and fostering a welcoming environment.Actively supports the MPS Strategic Plan.Completes other duties as assigned.Equal Employment OpportunityThe Milwaukee Public Schools does not discriminate in its programs, activities, facilities, employment, or educational opportunities on the basis of a person's sex, race, age, religion, color, national origin, ancestry, creed, pregnancy, marital or parental status, sexual orientation, or disability. Reasonable accommodations requested by qualified individuals with disabilities will be made in accordance with the Americans with Disabilities Act (ADA) of 1990, as amended by the Americans with Disabilities Act Amendments Act (ADAAA) of 2008.  In accordance with Wisconsin Statutes, every applicant for a position with Milwaukee Public Schools will be subject to the open records law. Any applicant not wishing to have his/her identity released, must submit a written statement to that effect to the Office of Human Resources. The identities of all ""final candidates"" may be released. Milwaukee Public Schools reserves the right to interview the best qualified candidates.","Milwaukee, WI 53208"
47,Data Analyst,Contract,Capgemini,"3 to 5 years of database/business process analysis experience for large enterprise data subjects like customer. Building complex SQL queries joining multiple tables, subqueries, etc. Skills:Strong SQL requiredSnowflake requiredRelational data analysis preferredStrong communication skills preferredAirflow nice to have",Remote
48,Research Data Analyst,Full-time,Boston Medical Center,"POSITION SUMMARY:  The Research Data Analyst will help design, build, test and run mathematical models for the evaluation of infectious disease public policy. Responsibilities span the entirety of the research process and include literature review, model development, parameter estimation, data manipulation, analysis and interpretation of results, manuscript preparation and presentation and dissemination of results. Work is centered on using microsimulation and cost-effectiveness methods to perform economic evaluation of public health guidelines and policies.  This person will work with a diverse team that comprises physicians, statisticians, engineers, epidemiologists and public health officials. There is ample opportunity for leadership and development within this role, which is well-supported by senior research faculty.  This position is ideal for a young investigator with interest and experience in public health, especially epidemiology, looking to make a substantial contribution to a well-established research team. Position: Research Data AnalystDepartment: Infectious Disease Schedule: Full TimeESSENTIAL RESPONSIBILITIES / DUTIES: Develop and apply new techniques for simulation modeling Conduct deep and thorough review of subject literature Design model structure through flow charts and analysis plans Synthesize multiple forms of evidence to estimate parameters Transform raw output into digestible format Interpret model results to draw conclusions about public policy Write and edit manuscripts at various stages of development Attend and present at conferences and meetings Maintain project records and manage timelines Balance multiple competing projects at the same time Administrative tasks Tasks related to routine administration of research projects including minutes and notes, scheduling, and logistics of travel. Must adhere to all of BMC's RESPECT behavioral standards. EDUCATION: Requires a bachelor's degree, preferably in mathematics, statistics, engineering, public health/epidemiology or another quantitative field, although outstanding applicants from other fields may be considered. Master's degree preferred but not required. EXPERIENCE: 1 -2 years of experience in a research role preferred. KNOWLEDGE & SKILLS: Excellent communication skills, including comfort with public speaking and formal writing Mastery of computational methods Understanding of infectious disease dynamics Previous experience with microsimulation desired- classroom experience acceptable Familiarity with R, SAS or other statistical programming language Data visualization and graphical communication useful A proven ability to learn and apply new technical skills Ability to work well with individuals from diverse social, racial, ethnic, and economic backgrounds Organizational ability to perform multiple tasks efficiently and to prioritize duties Must be able to maintain strict protocols of all confidential or sensitive information Req id: 24566","Boston, MA 02118"
49,Health Data Analyst/Informaticist,"$107,000 - $194,000 a year -  Full-time",IBM,"Introduction As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.  Your Role and Responsibilities The FDA BEST team is seeking a data analyst with an interest in healthcare and regulatory science to support our work with the FDA.   If you are hired into a Colorado work location, the anticipated compensation range for the position $107,000.00 to $194,000.00 based on a full time schedule. Your ultimate compensation may vary depending on your job-related skills and experience. For part time roles, the compensation will be adjusted appropriately.  Required Technical and Professional Expertise At least 2 years of experience with health data analytics/informatics, in particular working with large-scale real world data sources like medical claims and EHRs At least 2 years of experience in health research including implementing study design, and presenting study results in written reports, presentations, and other mediums. At least 2 years of experience with clinical informatics vocabularies like ICD, SNOMED, LOINC, RxNorm, NDC, etc. BA/BS in public health, health informatics, or data analytics with a focus in healthcare, and 2-3 years of experience Preferred Technical and Professional Expertise At least 2-years of experience with common data models like OMOP and/or FHIR would be preferred and knowledge of agile development. Strong written and verbal communication skills Interest in healthcare and desire to learn Strong experience with SQL, and either Python or R About Business Unit IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.     This job requires you to provide your COVID-19 vaccination status with supporting documentation, where legally permissible.  Your Life @ IBM Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.   Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.   It's time to define your career.  About IBM IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.   Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.    At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.  Location Statement IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:   12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.Well-being programs to support mental and physical health.Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).Select educational reimbursement opportunities.Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.Giving and volunteer programs to benefit charitable organizations and local communities.Discounts on retail products, services, and experiences. This position is eligible for participation in an IBM sales incentive plan. Actual incentive opportunity will be based on performance and the eligible Target Incentive, as addressed in the applicable plan, all of which is subject to change.    We consider qualified applicants with criminal histories, consistent with applicable law.  Being You @ IBM IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status. ","Washington, DC 20001"
50,Data Analyst,$55 - $70 an hour,ZP Group,"Piper Companies is seeking a Data Analyst to determine the strategic plan for the robust financial lines of business to develop and conduct funnel conversion optimization, data analytics, financial assessment, business intelligence, and performance reporting. Responsibilities for the Data Analyst include: Utilize analytical tools (SQL, R, Python) and data query tools to build, test, evaluate and maintain robust data analysis and reporting for management to make timely and informed decisions Work with key stakeholders including Product Owner, Marketing, Operations, User Experience, Finance, Fraud, IT, and external business partners to evaluate, manage, and execute initiatives aimed at driving Unsecured portfolio growth Perform competitive market analysis to identify gaps between internal programs and competitor programs Directly mine and evaluate behavioral/demographic attributes and other internal and external data elements Qualifications for the Data Analyst include: Bachelor’s Degree in Economics, Finance, Statistics, Mathematics, Engineering, or a related field is required 3+ years of experience in consumer products in consumer financial, data governance, or related industry 3+ years of experience in complex, data driven problem solving, customer behavior analysis, and product performance analysis Proficiency with several statistical tools (R, Python, SAS, etc.,) and analysis is required Strong skills in various data analysis and visualization tools including SQL, Tableau, Excel, and PowerPoint are desired, PowerBI or alternatives are relevant Compensation for the Data Analyst include: Pay Rate: $55-70/hr Salary Range: $105,000-130,000 Benefits: 100% Health, Dental, Vision 401K w/matching PTO, Federal Holidays",Remote
